object_type,object_name,object_description,utilization,sample_code
SQL_SCALAR_FUNCTION,[dbo].[MetricValue],"Scalar function, [dbo].[MetricValue]: [
    ""Calculates a metric value based on the specified method:"",
    ""0: Direct current value (like an odometer reading)."",
    ""1: Delta between actual values of successive events."",
    ""2: Leak amount (expected minus actual at the current event)."",
    ""3: Current actual value on arrival (backlog/bottleneck)."",
    ""4: Percentage change since previous event.""
  ]","Use when you need a single standardized way to derive the metric value used by a model or process step, instead of rewriting metric logic in multiple queries.","

    -- Get the actual value at EventB:
    SELECT dbo.MetricValue(0, 50, 60, 40, 60) AS Metric;

    -- Compute consumption between events:
    SELECT dbo.MetricValue(1, 50, NULL, 40, NULL) AS Consumption;

"
SQL_TABLE_VALUED_FUNCTION,[dbo].[ModelDrillThrough],"Table-valued function, [dbo].[ModelDrillThrough]: Retrieves paired events (EventA -> EventB) and their details for a specified Markov model, including elapsed minutes, rank, and occurrence counts.",,"

    SELECT * FROM dbo.ModelDrillThrough(24,'lv-csv1','homedepot1');

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[ModelEventAnomalies],"Table-valued function, [dbo].[ModelEventAnomalies]: Returns all detected anomalies (metric outliers and low-prob transitions) for each event pair in the specified Markov model, including observed metric values, z-scores, and transition probabilities.","Use when you want anomaly-oriented model event output, especially to find unusual transitions, outlier timing, or segments whose behavior differs from expectations.","

	DECLARE @ModelID INT = 1
	SELECT  
		[CaseID], [AnomalyCode], [EventA], [EventB],
		MetricAvg, MetricStDev, metric_value, metric_zscore,
		[transistion_prob]
	FROM 
		ModelEventAnomalies(@ModelID)

"
SQL_SCALAR_FUNCTION,[dbo].[ModelEventKey],"Scalar function, [dbo].[ModelEventKey]: [
    ""Generates a 16-byte MD5 hash representing the combination of model-level parameters and filters."",
    ""Enables linking of events across different models (e.g., Markov vs. Bayesian) by hashing the canonicalized parameter set.""
  ]","Use when you need a stable identifier for a model event segment, especially for joins, deduplication, caching, or comparing segment definitions across runs.","

    DECLARE @key VARBINARY(16) = dbo.ModelEventKey(
      N'SalesProcess', 1,
      '2024-01-01', '2024-12-31',
      N'{""currency"":""USD""}', 1,
      N'TotalSales',
      N'{""store"":""Walmart""}',
      N'{""eventType"":""purchase""}'
    );
    SELECT @key AS HashedModelEventKey;

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[ModelEventsByOrdinalMean],"Table-valued function, [dbo].[ModelEventsByOrdinalMean]: Aggregates transition statistics by source event, computing total occurrences and average ordinal metrics for each EventA in the specified Markov model.","Use when you want a compact summary of how often each source event appears in a model and roughly where in the process it tends to occur. Helpful for identifying early-, middle-, and late-stage events, comparing process shape by EventA, or building simplified visualizations from ModelEvents.","

	DECLARE @ModelID INT=1
    SELECT * 
      FROM dbo.ModelEventsByOrdinalMean(@ModelID)
	ORDER BY OrdinalMean

"
SQL_TABLE_VALUED_FUNCTION,[dbo].[ModelEventsByProperty],"Table-valued function, [dbo].[ModelEventsByProperty]: Retrieves transition metrics (Min, Max, Avg, Sum, Rows, Prob, entry/exit flags) for all Markov models matching the specified event set, time window, transforms, grouping, metric, and filter properties.","Use when you want transition rows for all models that share a given parameter set, rather than for just one model ID. Helpful for comparing model-event metrics across related models, retrieving transition statistics by model family, or supporting reports that need EventA→EventB metrics filtered by model-definition parameters.","

	DECLARE @CreatedBy_AccessBitmap BIGINT=NULL
    SELECT *
      FROM dbo.ModelEventsByProperty(
        'leavehome,heavytraffic,lighttraffic,arrivework',
        0,
        NULL,
        NULL,
        NULL,
        1,
        NULL,
        NULL,
        NULL,
        NULL,
		@CreatedBy_AccessBitmap
      );

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[ModelEventsFull],"Table-valued function, [dbo].[ModelEventsFull]: Returns the full set of transition metrics (stats, probabilities, entry/exit flags, and up to five custom properties) for all model segments, filtered by user access and optionally by selected model properties.","Use when you want a richer version of model-event output than the basic segment table, especially for reporting, auditing, or exporting fuller model detail.","
    SELECT * FROM dbo.ModelEventsFull('[""Property1"",""Property3""]');

"
SQL_SCALAR_FUNCTION,[dbo].[ModelID],"Scalar function, [dbo].[ModelID]: [
    ""Looks up an existing ModelID matching the full model definition (event set, date range, enumeration flag, transforms, grouping, metric, filters, and model type)."",
    ""Returns the first matching ModelID or NULL if none found.""
  ]",Use when you want to resolve or derive a model identifier from model-defining inputs instead of hard-coding ModelID values in downstream logic.,"

    -- Find existing model for these parameters
    SELECT dbo.ModelID(
      'restaurantguest', 1, '1900-1-1','2050-12-31',
      NULL, 1,
      'Time Between',
      NULL,NULL,
      'MarkovChain'
    ) AS ExistingModelID;

    SELECT dbo.ModelID(
      'arrive,depart', 1, '1900-1-1','2050-12-31',
      NULL, 1,
      'Time Between',
      NULL,NULL,
      'MarkovChain'
    ) AS ExistingModelID;


"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[ModelMatrix],"Table-valued function, [dbo].[ModelMatrix]: Returns the first-order transition matrix for a given Markov model, listing each EventA→EventB transition and its associated probability.","Use when you want the first-order transition matrix for a single Markov model in its simplest form: EventA, EventB, and probability. Helpful for adjacency-style graphing, exporting model edges to other tools, or quickly inspecting the transition structure of a model without the extra statistics stored in ModelEvents.","

    SELECT * FROM dbo.ModelMatrix(10);

"
SQL_TABLE_VALUED_FUNCTION,[dbo].[ModelSimilaritySegments],"Table-valued function, [dbo].[ModelSimilaritySegments]: Returns a segment-by-segment comparison between two existing Markov models by aligning EventA→EventB segments from dbo.ModelEvents. For each segment appearing in either model, the function reports probabilities, averages, row counts, presence flags, differences, and a t-test-like value when both models contain the same segment with nonzero variance.","Use when you already have two ModelID values and want to see exactly which segments are shared, unique, or materially different. Helpful after dbo.InsertModelSimilarities, or as a detailed complement to summary scores such as PercentSameSegments and CosineSimilarity.","

    SELECT *
    FROM dbo.ModelSimilaritySegments(6,7)
    ORDER BY AbsProbDiff DESC, EventA, EventB;

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[ModelsWithProperties],"Table-valued function, [dbo].[ModelsWithProperties]: Retrieves models that have at least one of the specified custom properties, returning up to five property names and their numeric or alpha values for each model.","Use when you need to pivot a small set of model properties into a wide row per model so those properties can be filtered, displayed, or joined more easily. Helpful for browsing models by custom metadata, exporting model catalogs, or combining selected model properties with other model-level result sets.","
    SELECT * 
      FROM dbo.ModelsWithProperties('EmployeeID,CustomerID');


"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[ParseCSV],"Table-valued function, [dbo].[ParseCSV]: Splits a comma- or delimiter-separated NVARCHAR string into rows of individual values using STRING_SPLIT.","Use when you need a lightweight helper to split a delimited string into rows inside SQL. Helpful for reusable parameter parsing, especially when other functions or procedures accept comma-separated lists and you want a simple rowset for filtering or joining.","

SELECT * FROM dbo.ParseCSV('a,b,c', ',');

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[ParseEventSet],"Table-valued function, [dbo].[ParseEventSet]: Parses a named event set code (or literal comma-delimited list) into individual event names, resolving sequence sets and trimming whitespace.","Use when you want to resolve an event-set code into its underlying events, or treat a literal comma-separated event list the same way. Helpful for normalizing event-set inputs so downstream logic can work with a rowset of event names regardless of whether the caller passed a code or a literal list.","

SELECT * FROM dbo.ParseEventSet('kitchenorder', 0);
SELECT * FROM dbo.ParseEventSet('restaurantguest', 0);



"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[ParseTransforms],"Table-valued function, [dbo].[ParseTransforms]: Parses and validates a JSON object of key→value event mappings, ensuring each source key appears only once and selecting the alphabetically first target if duplicates occur. Rewritten as an inline table-valued function for better Azure Synapse compatibility.","Use when you want to turn a transforms JSON object into a normalized rowset of source-event to target-event mappings. Helpful for validating transform definitions, generating stable transform keys, inspecting event-name remapping rules, or feeding transform logic into downstream modeling functions in a Synapse-friendly way.","

    SELECT * FROM [dbo].[ParseTransforms]('{""heavytraffic"":""traffic"",""heavytraffic"":""bigtraffic""}');

    SELECT * FROM [dbo].[ParseTransforms]('{""moderatetraffic"":""traffic"",""heavytraffic"":""traffic"",""lighttraffic"":""traffic"",""heavytraffic"":""bigtraffic""}');

"
SQL_SCALAR_FUNCTION,[dbo].[PromptEventSimilarity],"Scalar function, [dbo].[PromptEventSimilarity]: Constructs a natural‐language prompt for an LLM to score or explain the semantic similarity between two event names, optionally including contextual co‐occurring words.","Use when generating text prompts or similarity text around events for LLM, embedding, or semantic search scenarios.","

--The events are named Event1 and Event2 instead of EventA and EventB because the latter is in the context of P(B|A).
SELECT [dbo].[PromptEventSimilarity]('raises','heavytraffic',1,NULL,NULL,NULL)

"
SQL_SCALAR_FUNCTION,[dbo].[PropertySource],"Scalar function, [dbo].[PropertySource]: Translates a numeric PropertySourceKey into its corresponding property category name for use in property metadata.","Use when you need to standardize or decode where a property came from, such as distinguishing raw source-derived properties from transformed or derived ones.","

  SELECT dbo.PropertySource(2);  -- returns 'AggregationProperties'

"
SQL_STORED_PROCEDURE,[dbo].[RefreshUserAccessBitmaps],"Stored procedure, , [dbo].[RefreshUserAccessBitmaps]: Rebuilds dbo.Users.AccessBitmap from granted rows in dbo.UserAccessRole by summing the corresponding bit value for each AccessID. Optionally limits the refresh to one user.","Use after inserting, updating, or deleting rows in dbo.UserAccessRole so dbo.Users.AccessBitmap stays synchronized for fast bitmap-based access checks throughout TimeSolution.","

    EXEC dbo.RefreshUserAccessBitmaps;

    EXEC dbo.RefreshUserAccessBitmaps
        @UserID = 5,
        @DisplayResults = 1;

    EXEC dbo.RefreshUserAccessBitmaps
        @SUSER_NAME = SUSER_NAME(),
        @DisplayResults = 1;

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[SegmentComparison],"Table-valued function, [dbo].[SegmentComparison]: Filters and returns detailed transition metrics for a given event pair (EventA → EventB) across models sliced by specified property values, enabling comparative analysis of different segments.","Use when you want to compare similar segments across models, slices, or conditions to see where probabilities, timing, or other metrics differ.","

-- Compare transitions for 'Big Drop-3%' to 'No Move' on specified stocks:
SELECT * 
  FROM dbo.SegmentComparison(
    'Big Drop-3%', 
    'No Move', 
    '{""Stock"":[""INTC"",""MSFT""]}', 
    '{""EmployeeID"":1,""LocationID"":1}'
  );

"
SQL_TABLE_VALUED_FUNCTION,[dbo].[SelectedEvents],"Table-valued function, [dbo].[SelectedEvents]: Retrieves a time-ordered, ranked sequence of events filtered and transformed per user parameters, supporting event-set selection, date windowing, case and event property filters, custom transforms, metric extraction, and optional enumeration of repeated events.",,"

-- Retrieve commute sequence for a given event set:
SELECT *
  FROM dbo.SelectedEvents(
    'leavehome,heavytraffic,moderatetraffic,lighttraffic,arrivework,returnhome',
    0, '1900-01-01','2050-12-31', NULL, 1, NULL, NULL, NULL
  )
ORDER BY CaseID, [Rank];

SELECT * FROM [dbo].[SelectedEvents]('leavehome,heavytraffic,moderatetraffic,lighttraffic,arrivework,returnhome',0,'01/01/1900','12/31/2050',NULL,1,NULL,NULL,NULL)
SELECT * FROM [dbo].[SelectedEvents](NULL,0,'01/01/1900','12/31/2050',NULL,1,NULL,'{""EmployeeID"":2,""CustomerID"":2}',NULL)
SELECT * FROM dbo.SelectedEvents('commute',0,'01/01/1900','12/31/2050',NULL,1,'Fuel',NULL,NULL) ORDER BY CaseID,[Rank]
SELECT * FROM dbo.SelectedEvents('pickuproute',0,'01/01/1900','12/31/2050',NULL,1,'Fuel',NULL,NULL) ORDER BY CaseID,[Rank]
SELECT * FROM dbo.SelectedEvents('pickuproute',0,'01/01/1900','12/31/2050',NULL,1,'Fuel',NULL,NULL) ORDER BY CaseID,[Rank]

SELECT * FROM dbo.SelectedEvents('poker',0,'01/01/2000','01/04/2050',NULL,1,NULL,NULL,NULL)
SELECT * FROM dbo.SelectedEvents('NEW_GAME,collected,GameState-0,GameState-1,GameState-2,GameState-3,GameState-4,calls,bets,raises,folds,checks',0,'01/01/2000','01/04/2050',NULL,1,NULL,NULL,NULL)
SELECT * FROM dbo.SelectedEvents('NEW_GAME,collected,GameState-0,GameState-1,GameState-2,GameState-3,GameState-4,calls,bets,raises,folds,checks',0,'01/01/2000','01/04/2050',NULL,1,'current_leader_chips',NULL)
SELECT * FROM dbo.SelectedEvents('NEW_GAME,collected,GameState-0,GameState-1,GameState-2,GameState-3,GameState-4,calls,bets,raises,folds,checks',0,'01/01/2000','01/04/2050',NULL,1,'current_leader_chips','{""TournamentNumber"":206815194}',NULL)
SELECT * FROM dbo.SelectedEvents('NEW_GAME,collected,GameState-0,GameState-1,GameState-2,GameState-3,GameState-4,calls,bets,raises,folds,checks',0,'01/01/2000','01/04/2050',NULL,1,'current_leader_chips','{""TournamentNumber"":206815194}','{""Player"":""RaminWho""}')

SELECT * FROM dbo.SelectedEvents('TIA',0,NULL,NULL,NULL,1,'Fuel','{""age"":""Elderly""}',NULL) ORDER BY CaseID,[Rank]
SELECT * FROM dbo.SelectedEvents('TIA',0,NULL,NULL,NULL,1,'Fuel','{""age"":""Young"",""Diabetic"":""No""}',NULL) ORDER BY CaseID,[Rank]

SELECT * FROM dbo.SelectedEvents('restaurantguest',0,'01/01/1900','12/31/2050',NULL,1,NULL,NULL,NULL) ORDER BY CaseID,[Rank]


Notes:
    • @EventSet is mandatory; function returns nothing if NULL.
    • @Metric defaults to 'Time Between' when omitted.

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[SeqProb],"Table-valued function, [dbo].[SeqProb]: Calculates the probability of a given next event following any sequence that starts with the specified start event, for a particular model or across all models.","Use when you need the probability of a specific sequence and want a scalar result that can be embedded in a larger query, scorecard, or rule.","

    -- For a specific model:
    SELECT * FROM dbo.SeqProb(1, 'arrive', 'order');
    -- Across all models:
    SELECT * FROM dbo.SeqProb(NULL, 'arrive', 'order');

    SELECT * FROM dbo.SeqProb(NULL, 'arrive,greeted', 'drinks');

"
SQL_SCALAR_FUNCTION,[dbo].[SequenceKey],"Scalar function, [dbo].[SequenceKey]: Generates a 16-byte MD5 hash key for a given event sequence string and next-event value, providing a unique identifier for event‐transition sequences.","Use when you need a stable key for an event sequence so it can be cached, compared, joined, or stored independently of the raw comma-separated text.","

  SELECT dbo.SequenceKey('arrive,greeted,seated,intro', 'drinks');

"
SQL_SCALAR_FUNCTION,[dbo].[SequenceProbability],"Scalar function, [dbo].[SequenceProbability]: Computes the overall probability of observing a given event sequence under a Markov model by walking through the ModelEvents transition probabilities, starting from the stationary (eigenvector) probability of the first event and multiplying successive transition probabilities.","Use when you want the probability of one or more sequences returned as a rowset, especially when comparing multiple sequences or joining sequence probabilities into larger analyses.","

SELECT dbo.SequenceProbability('heavytraffic,lighttraffic,moderatetraffic,heavytraffic,heavytraffic',10)
SELECT dbo.SequenceProbability('heavytraffic',10) -- Only gets the eigenvector value.

"
SQL_TABLE_VALUED_FUNCTION,[dbo].[SequenceSegments],"Table-valued function, [dbo].[SequenceSegments]: Identifies and aggregates all event sequences in raw event data that begin with a specified start event and end with a specified end event, computing basic statistics (min, max, avg, stdev, sum) on the elapsed time between those events and listing the cases in which they occur.",,"

SELECT * FROM dbo.[SequenceSegments]('greeted','order','arrive,greeted,seated,intro,drinks,ccdeclined,charged,order,check,seated,served,bigtip,depart',1,'01/01/1900','12/31/2050',NULL,1,NULL,NULL)
SELECT * FROM dbo.[SequenceSegments]('drinks','depart','arrive,greeted,seated,intro,drinks,ccdeclined,charged,order,check,seated,served,bigtip,depart',1,'01/01/1900','12/31/2050',NULL,1,NULL,NULL)


"
SQL_TABLE_VALUED_FUNCTION,[dbo].[Sequences],"Table-valued function, [dbo].[Sequences]: Computes all successive event‐sequence statistics (per‐sequence and per‐hop) for a given event set over a time window, optionally using cached results for performance.",,"
    SELECT * 
      FROM dbo.Sequences(
        'arrive,greeted,seated',  
         1, '1900-01-01','2050-12-31',
         NULL,1,NULL,NULL,NULL,0
      );

    SELECT * 
      FROM dbo.Sequences(
        'restaurantguest',  
         1, '1900-01-01','2050-12-31',
         NULL,1,NULL,NULL,NULL,0
      );

"
SQL_STORED_PROCEDURE,[dbo].[SetUserAccessBitmap],"Stored procedure, , [dbo].[SetUserAccessBitmap]: Inserts or updates a user’s AccessBitmap in the Users table based on login name, and optionally returns the detailed granted permissions.",Use when assigning or updating bitmap-based access permissions for a user so model and metadata visibility can be enforced consistently.,"
	DECLARE @UID INT
    EXEC dbo.SetUserAccessBitmap 
      @SUSER_NAME = NULL, 
      @AccessBitmap = 12345, 
      @DisplayAccessDetail = 1, 
      @UserID = @UID OUTPUT;
	PRINT @UID

	DECLARE @UID INT
	EXEC dbo.SetUserAccessBitmap 'TestUser', 1, @UserID = @UID OUTPUT;
	PRINT @UID

"
SQL_SCALAR_FUNCTION,[dbo].[SortKeyValueJSON],"Scalar function, [dbo].[SortKeyValueJSON]: Accepts a JSON object and returns a new JSON string with its key/value pairs sorted by key, preserving values as strings.","Use when you need a canonical ordering of JSON key/value pairs before hashing, comparison, storage, or transform-key generation.","

    SELECT dbo.SortKeyValueJSON('{""harry"":""Carry"",""ally"":""smith"",""barry"":""carter""}');

"
SQL_SCALAR_FUNCTION,[dbo].[SourceID],"Scalar function, [dbo].[SourceID]: Looks up and returns the SourceID for a given server and database combination from the Sources table, or NULL if not found.","Use when you know the server and database names and want to resolve the corresponding SourceID for inserts, metadata joins, or ETL setup.","

    SELECT dbo.SourceID('EAA2024','Stocks',NULL);
    SELECT dbo.SourceID('EAA2024','EHR','Orders');

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[TimeIntelligenceWindow],"Table-valued function, [dbo].[TimeIntelligenceWindow]: Returns a single-row time-intelligence window for a supplied as-of datetime, units value, and function code. Supports common business windows such as current period, to-date windows, previous and next full periods, lag and lead periods, and rolling windows.","Use when a query, stored procedure, or other function needs a reusable time window such as MTD, QTD, YTD, previous month, next quarter, lag 7 days, or rolling 30 days. Designed as an inline table-valued function to be more optimizer-friendly and more portable toward MPP-oriented platforms than a multi-statement TVF.","

	DECLARE @StartDateTime DATETIME
	DECLARE @EndDateTime DATETIME
	DECLARE @EventSet NVARCHAR(500)='restaurantguest'

    SELECT @StartDateTime=StartDateTime, @EndDateTime=EndDateTime
    FROM dbo.TimeIntelligenceWindow('02-28-2023', 0, 'MTD');

	EXEC sp_SelectedEvents @EventSet,0, @StartDateTime,@EndDateTime,NULL,1,NULL,NULL,NULL


    SELECT *
    FROM dbo.TimeIntelligenceWindow(GETDATE(), 1, 'PREVMONTH');

    SELECT *
    FROM dbo.TimeIntelligenceWindow(GETDATE(), 30, 'ROLLINGDAYS');

    SELECT *
    FROM dbo.TimeIntelligenceWindow(GETDATE(), 2, 'LEADQTR');

    SELECT e.*
    FROM dbo.EventsFact e
    CROSS APPLY dbo.TimeIntelligenceWindow(GETDATE(), 1, 'PREVMONTH') ti
    WHERE e.EventDate >= ti.WindowStart
      AND e.EventDate <  ti.WindowEnd;

"
SQL_SCALAR_FUNCTION,[dbo].[TransformsKey],"Scalar function, [dbo].[TransformsKey]: Generates a stable 16-byte MD5 hash for a JSON mapping of event transforms by sorting key/value pairs to ensure consistent ordering regardless of input order.","Use when you need a stable canonical key for a transforms JSON payload so logically identical mappings resolve to the same identifier even if the JSON property order differs. Helpful for deduplicating transform definitions, looking up cached models by transforms set, or storing transform metadata consistently.","

    SELECT dbo.TransformsKey('{""lighttraffic"":""traffic"",""moderatetraffic"":""traffic"",""heavytraffic"":""traffic""}');
    SELECT dbo.TransformsKey('{""heavytraffic"":""traffic"",""lighttraffic"":""traffic"",""moderatetraffic"":""traffic""}');
	--heavytraffic shows up twice, second one with a different value.
    SELECT dbo.TransformsKey('{""moderatetraffic"":""traffic"",""heavytraffic"":""traffic"",""lighttraffic"":""traffic"",""heavytraffic"":""vtraffce""}');
    SELECT dbo.TransformsKey('{""moderatetraffic"":""traffic"",""heavytraffic"":""traffic"",""lighttraffic"":""traffic"",""LAtraffic"":""reallybadtraffce""}');

"
SQL_STORED_PROCEDURE,[dbo].[UpdateCaseFromEvents],"Stored procedure, , [dbo].[UpdateCaseFromEvents]: Recalculates and updates the EventCount, StartDateTime, and EndDateTime in the Cases table based on the EventsFact entries, optionally for a single case or all cases.","Use when case-level metadata should be refreshed from the events that belong to the case, especially after new event loads or corrections.","
    EXEC dbo.UpdateCaseFromEvents @CaseID = 871;
    EXEC dbo.UpdateCaseFromEvents @CaseID = NULL;  -- Update all cases

"
SQL_STORED_PROCEDURE,[dbo].[UpdateTransform],"Stored procedure, , [dbo].[UpdateTransform]: Updates an existing transforms entry by computing its key, ensuring the code is unique for that key, updating its code and description, and logs the update event.","Use when changing an existing transform definition without manually editing metadata tables, especially when event normalization rules evolve.","
    DECLARE @tk VARBINARY(16);
    EXEC dbo.UpdateTransform
      @Transforms = '{""arnold1"":""arnold"",""arnold2"":""arnold"",""keto1"":""dietpage"",""weightwatcher1"":""dietpage"",""vanproteinbars"":""proteinbars"",""chocproteinbars"":""proteinbars""}',
      @Code = 'Map1',
      @Dessciption = 'Maps A to X and B to Y',
      @Transformskey = @tk OUTPUT;

"
SQL_SCALAR_FUNCTION,[dbo].[UserID],"Scalar function, [dbo].[UserID]: Looks up the numeric UserID for a given Windows login; if none is passed, uses the current session’s login.","Use when you need the internal user identifier for the current or supplied user in joins, access checks, or audit logic.","

    SELECT dbo.UserID(NULL);       -- Your own UserID
    SELECT dbo.UserID('DOMAIN\\Joe');  -- Specific login

"
SQL_SCALAR_FUNCTION,[dbo].[bigint_to_binary_string],"Scalar function, [dbo].[bigint_to_binary_string]: Converts a BIGINT value into its 62-bit binary string representation, padding with leading zeros as needed.","Use when you need a readable bit-string form of a BIGINT, especially for debugging access bitmaps, flags, or other packed integer settings.","

    SELECT dbo.bigint_to_binary_string(13);  -- returns '000...01101'

"
SQL_STORED_PROCEDURE,[dbo].[get_semantic_web_llm_values],"Stored procedure, , [dbo].[get_semantic_web_llm_values]: Dynamically discovers all tables with Description and IRI columns (plus optional EventsFact entries), and returns a unified result set of object name, type, description, IRI, code column name, and code value for semantic-web and LLM embedding purposes. Usefull for setting up 'Time Molecules skills'. See dbo.getTimeMoleculesObjectMetadata() for sprocs, tvf, and udfs.","Use when exporting or preparing Time Molecules metadata values for embeddings, semantic search, or LLM-oriented catalog generation.","

    EXEC dbo.get_semantic_web_llm_values;          -- default, hides EventsFact
    EXEC dbo.get_semantic_web_llm_values 1;        -- include EventsFact entries

"
SQL_STORED_PROCEDURE,[dbo].[sp_AdjacencyMatrix],"Stored procedure, , [dbo].[sp_AdjacencyMatrix]: Generates an adjacency matrix from a given event set by calling dbo.MarkovProcess2 and then returning, for each EventA→EventB pair, the conditional probability P(B|A), total occurrences of EventA, and raw transition counts.",Use when you want the stored-procedure version of dbo.AdjacencyMatrix so the logic can rely on the temp/work-table implementation path used by dbo.MarkovProcess2. This is more compatible with the newer Time Molecules stored-proc architecture and is friendlier to Azure Synapse style processing than depending on the legacy TVF chain.,"

    SELECT * FROM dbo.AdjacencyMatrix('poker', 1, NULL);
	EXEC dbo.sp_AdjacencyMatrix @EventSet='poker', @enumerate_multiple_events=1, @transforms=NULL;

	SELECT * FROM  [dbo].[AdjacencyMatrix]('restaurantguest',1,NULL)
    EXEC dbo.sp_AdjacencyMatrix @EventSet='restaurantguest', @enumerate_multiple_events=1, @transforms=NULL;

"
SQL_STORED_PROCEDURE,[dbo].[sp_CaseCharacteristics],"Stored procedure, , [dbo].[sp_CaseCharacteristics]: Retrieves both anomaly-derived event-pair metrics and case-level properties for a given model, consolidating them into a single result set for downstream association analysis. Stored-proc version of dbo.CaseCharacteristics using dbo.sp_ModelDrillThrough to derive the case population.","Use when you want one result set that mixes model-derived anomaly signals with case properties for the same population of cases, while following the newer stored-procedure architecture.",
SQL_STORED_PROCEDURE,[dbo].[sp_CompareEventProximities],"Stored procedure, , [dbo].[sp_CompareEventProximities]: [
    ""Compares the event footprints of two tuple-defined populations and returns the event properties found for both selections."",
    ""Helps identify where two tuple-defined activity streams may intersect through shared event properties, objects, actors, or sources.""
  ]","Use when you want to compare two tuple-defined populations and find event properties that appear in both selections. Helpful for exploratory root-cause work, overlap analysis, and discovering common objects, actors, sources, or other shared event-level signals that may connect two different activity streams.","

EXEC [dbo].[sp_CompareEventProximities]
    @CaseFilterProperties1 = '{""LocationID"":1,""EmployeeID"":1}',
    @CaseFilterProperties2 = '{""LocationID"":1,""EmployeeID"":4}',
    @StartDateTime = NULL,
    @EndDateTime = NULL,
	@ReturnOnlyMatchedProperties=0 --0 means return all property values, then LLM will evaluate what is similar.

EXEC [dbo].[sp_CompareEventProximities]
    @CaseFilterProperties1 = '{""LocationID"":1,""CustomerID"":2}',
    @CaseFilterProperties2 = '{""LocationID"":1,""CustomerID"":4}',
    @StartDateTime = '2020-01-01',
    @EndDateTime = '2025-12-31',
	@ReturnOnlyMatchedProperties=1

"
SQL_STORED_PROCEDURE,[dbo].[sp_ConditionalProbabilityTable],"Stored procedure, , [dbo].[sp_ConditionalProbabilityTable]: For each case or time-group (CASEID/DAY/MONTH/YEAR), counts occurrences of two event sequences A and B so you can compute conditional probabilities across cases.","Use when you want the conditional-probability table logic exposed as a stored procedure, especially for workflows that prefer procedural invocation or writing results to work tables.",
SQL_STORED_PROCEDURE,[dbo].[sp_DrillThroughToModelEvents],"Stored procedure, , [dbo].[sp_DrillThroughToModelEvents]: Retrieves all underlying events (with ordering, occurrence counts, and metric values) that made up a specified Markov model by its ModelID, leveraging the parameters stored for that model.","Use when you want the event rows behind a stored model loaded procedurally, especially when a downstream step expects a work table or staged result rather than a TVF.","
    EXEC sp_DrillThroughToModelEvents 24

"
SQL_STORED_PROCEDURE,[dbo].[sp_ModelDrillThrough],"Stored procedure, , [dbo].[sp_ModelDrillThrough]: Retrieves paired events (EventA -> EventB) and their details for a specified Markov model, including elapsed minutes, rank, and occurrence counts.","Use when you want paired EventA→EventB rows behind a specific model, especially for inspecting real case evidence behind a transition and explaining how a model behaves.","

	DECLARE @ModelID BIGINT=5
	SELECT * FROM [dbo].[ModelEvents] WHERE ModelID=@ModelID
    EXEC dbo.sp_ModelDrillThrough @ModelID,'arrive','greeted';

	DECLARE @SessionID UNIQUEIDENTIFIER=NEWID()
	EXEC dbo.sp_ModelDrillThrough @ModelID=1, @SessionID=@SessionID


"
SQL_STORED_PROCEDURE,[dbo].[sp_SelectEventsbyProperties],"Stored procedure, , [dbo].[sp_SelectEventsbyProperties]: Returns events from dbo.EventPropertiesParsed that belong to the specified EventSet, fall within the effective datetime window, and match all property names supplied in the JSON property filter. The procedure expands the EventSet into distinct event names, parses the property filter JSON, and returns one row per matching event occurrence.","Use when you want to find actual event occurrences that match a named event set and a JSON property filter, especially for targeted drill-through, validation, or event-level troubleshooting.",
